Sequence_ID	Organism	Collected_by	Collection_date	Country	Identified_by	Lat_Lon	Specimen_voucher
Seq-DBG-F-033594	Albatrellus ovinus	Sara Branco	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033594
Seq-DBG-F-033596	Ascobolus furfuraceus	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536596	DBG:DBG:DBG-F-033596
Seq-DBG-F-033597	 	Thiago Kossmann	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ikuko Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033597
Seq-DBG-F-033598	Mycena pura	Mary Childress	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033598
Seq-DBG-F-033600	Inocybe petiginosa	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Roy E. Halling	40.035367 -105.536595	DBG:DBG:DBG-F-033600
Seq-DBG-F-033601	Laccaria pumila	Thiago Kossmann	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Roy E. Halling	39.733082 -104.960292	DBG:DBG:DBG-F-033601
Seq-DBG-F-033602	Ascocoryne cylichnium	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536596	DBG:DBG:DBG-F-033602
Seq-DBG-F-033603	Scutellinia scutellata	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ikuko Lubow	40.031132 -105.538355	DBG:DBG:DBG-F-033603
Seq-DBG-F-033604	 	Amy Honan	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Roy E. Halling	40.043817 -105.572449	DBG:DBG:DBG-F-033604
Seq-DBG-F-033605	Phaeohelotium subcarneum	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ikuko Lubow	40.107537 -104.515099	DBG:DBG:DBG-F-033605
Seq-DBG-F-033606	Flammulaster wieslandri	Amy Honan	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033606
Seq-DBG-F-033607	Cortinarius 	Amy Honan	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Amy Honan, Roy E. Halling	40.043854 -105.572403	DBG:DBG:DBG-F-033607
Seq-DBG-F-033609	Otidea leporina	Amy Honan	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Roy E. Halling	40.035367 -105.536596	DBG:DBG:DBG-F-033609
Seq-DBG-F-033610	Crucibulum laeve	Alisha Quandt	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ikuko Lubow	40.035367 -105.536595	DBG:DBG:DBG-F-033610
Seq-DBG-F-033611	 	K. Robinson; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, near visitor parking lot	Bitty Roy	39.1069 -96.60918	DBG:DBG:DBG-F-033611
Seq-DBG-F-033612	Hebeloma submelinoides	Amy Honan	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow, Roy Halling	40.035367 -105.536596	DBG:DBG:DBG-F-033612
Seq-DBG-F-033638	Schizophyllum commune	Griffin Meyer; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, open field	Bitty Roy	39.096 -96.59217	DBG:DBG:DBG-F-033638
Seq-DBG-F-033639	Irpex lacteus	Robert Menning; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, forest near Kings Creek Loop	Bitty Roy	39.10206 -96.58661	DBG:DBG:DBG-F-033639
Seq-DBG-F-033641	Daedaleopsis confragosa	Robert Menning; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, edge of forest near Kings Creek Loop	Bitty Roy	39.10239 -96.58666	DBG:DBG:DBG-F-033641
Seq-DBG-F-033643	Irpex lacteus	David Hayes; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, forest near Kings Creek Loop	Bitty Roy	39.10178 -96.58886	DBG:DBG:DBG-F-033643
Seq-DBG-F-033648	Hymenochaete 	Justin Loucks; Andrew W. Wilson	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, forest near Kings Creek Loop	Bitty Roy	39.10243 -96.58655	DBG:DBG:DBG-F-033648
Seq-DBG-F-033649	Trametes 	Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, shrubs next to Kansa Prarie Lane	Bitty Roy	39.10225 -96.60271	DBG:DBG:DBG-F-033649
Seq-DBG-F-033650	Pleurotus ostreatus	Fern Fenimore; Andrew W. Wilson; Justin Loucks	7-Apr-2025	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, forest near Kings Creek Loop	Fern Fenimore	39.10193 -96.58824	DBG:DBG:DBG-F-033650
Seq-DBG-F-033652	Daedaleopsis confragosa	Griffin Meyer; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, forest near Kings Creek Loop	Bitty Roy	39.10222 -96.58805	DBG:DBG:DBG-F-033652
Seq-DBG-F-033654	Dendrothele nivosa	Justin Loucks; Andrew W. Wilson	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, forest near Kings Creek Loop	Bitty Roy	39.10201 -96.58677	DBG:DBG:DBG-F-033654
Seq-DBG-F-033655	Irpex lacteus	David Hayes; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, forest near Kings Creek Loop	Bitty Roy	39.10174 -96.58901	DBG:DBG:DBG-F-033655
Seq-DBG-F-033656	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033656
Seq-DBG-F-033657	Cerrena unicolor	Travis Henry; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, E Riley Ave, field by Fire District 1	Bitty Roy	39.11483 -96.70007	DBG:DBG:DBG-F-033657
Seq-DBG-F-033659	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033659
Seq-DBG-F-033660	Vitreoporus dichrous	Griffin Meyer; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, forest near Kings Creek Loop	Bitty Roy	39.10231 -96.58782	DBG:DBG:DBG-F-033660
Seq-DBG-F-033662	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033662
Seq-DBG-F-033665	Irpex lacteus	David Hayes; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, forest near Kings Creek Loop	Bitty Roy	39.10213 -96.58638	DBG:DBG:DBG-F-033665
Seq-DBG-F-033666	Exidia 	Justin Loucks; Andrew W. Wilson	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, edge of forest near Kings Creek Loop	Bitty Roy	39.10243 -96.58653	DBG:DBG:DBG-F-033666
Seq-DBG-F-033667	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033667
Seq-DBG-F-033672	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033672
Seq-DBG-F-033674	Cerrena unicolor	David Hayes; Andrew W. Wilson; Justin Loucks	7-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, forest near Kings Creek Loop	Bitty Roy	39.1017 -96.58944	DBG:DBG:DBG-F-033674
Seq-DBG-F-033701	Trametes 	Anna Kazarina	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; near trail	Bitty Roy	39.10565 -96.60167	DBG:DBG:DBG-F-033701
Seq-DBG-F-033701	Trametes 	Anna Kazarina	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; near trail	Bitty Roy	39.10565 -96.60167	DBG:DBG:DBG-F-033701
Seq-DBG-F-033706	Elmerina caryae	Anna Leslie; Andrew W. Wilson	8-Apr-2022	United States of America: Kansas, Riley, Konza Prairie Biological Station	Bitty Roy (DNA)	39.102976 -96.594484	DBG:DBG:DBG-F-033706
Seq-DBG-F-033707	Irpex lacteus	Sariah Pittenger-Reed; Andrew W. Wilson	8-Apr-2022	United States of America: Kansas, Riley, Konza Prairie Biological Station	Ben Sikes	39.103435 -96.594892	DBG:DBG:DBG-F-033707
Seq-DBG-F-033708	Irpiciporus mollis	Patrick Russell	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10204 -96.58809	DBG:DBG:DBG-F-033708
Seq-DBG-F-033708	Irpiciporus mollis	Patrick Russell	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10204 -96.58809	DBG:DBG:DBG-F-033708
Seq-DBG-F-033710	Irpex lacteus	Patrick Russell	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; small section of forest	Ed Lubow	39.10338 -96.59498	DBG:DBG:DBG-F-033710
Seq-DBG-F-033710	Irpex lacteus	Patrick Russell	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; small section of forest	Ed Lubow	39.10338 -96.59498	DBG:DBG:DBG-F-033710
Seq-DBG-F-033715	Brunneoporus malicola	Claire Bowman	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station	Ed Lubow	39.10216 -96.5888	DBG:DBG:DBG-F-033715
Seq-DBG-F-033715	Brunneoporus malicola	Claire Bowman	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station	Ed Lubow	39.10216 -96.5888	DBG:DBG:DBG-F-033715
Seq-DBG-F-033718	Stereum fasciatum	Andrew W. Wilson	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10154 -96.58854	DBG:DBG:DBG-F-033718
Seq-DBG-F-033718	Stereum fasciatum	Andrew W. Wilson	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10154 -96.58854	DBG:DBG:DBG-F-033718
Seq-DBG-F-033719	Irpex lacteus	iNaturalist observer: hulagirl1259	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station	Ed Lubow	39.101798 -96.588703	DBG:DBG:DBG-F-033719
Seq-DBG-F-033720	Schizophyllum commune	Pam Paulson	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station	Ed Lubow	39.103375 -96.595001	DBG:DBG:DBG-F-033720
Seq-DBG-F-033720	Schizophyllum commune	Pam Paulson	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station	Ed Lubow	39.103375 -96.595001	DBG:DBG:DBG-F-033720
Seq-DBG-F-034196	Clitopilus paxilloides	Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, 1 km North of Silver Lake	Bitty Roy	40.0472 -105.57781	DBG:DBG:DBG-F-034196
Seq-DBG-F-034198	Hydnellum suaveolens	Sara Branco	11-Aug-2023	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station- Moores-Collins Family lodge	Sara Branco	40.032657 -105.535091	DBG:DBG:DBG-F-034198
Seq-DBG-F-034200	Laccaria bicolor	Natalie Hyde	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge	Annie Schauster	40.047235 -105.577024	DBG:DBG:DBG-F-034200
Seq-DBG-F-034201	Sarcodon imbricatus	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, ~50m south of Niwot Ridge Road near end of creek	Justin Loucks	40.039933 -105.571633	DBG:DBG:DBG-F-034201
Seq-DBG-F-034202	Lactarius olympianus	Stephen Mondo; Carlyn Pudwil	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Moores-Collins Family Lodge	James Chelin	40.032143 -105.53559	DBG:DBG:DBG-F-034202
Seq-DBG-F-034203	Hydnellum glaucopus	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, Niwot ridge road ~100 m uphill from Cable Gate	Ed Lubow	40.04332 -105.570755	DBG:DBG:DBG-F-034203
Seq-DBG-F-034204	Sarcodon imbricatus	Michelle Williams	11-Aug-2023	United States of America: Colorado, Boulder, Niwot Ridge Road, ~100m downhill from Cable Gate	Ed Lubow	40.041497 -105.571638	DBG:DBG:DBG-F-034204
Seq-DBG-F-034205	Lactarius repraesentaneus	Andrew W. Wilson; Ed Lubow; Ikuko Lubow; Roy Halling	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Reasearch Station, trail to Niwot Ridge	Andrew W. Wilson	40.047277 -105.576366	DBG:DBG:DBG-F-034205
Seq-DBG-F-034206	Sarcodon imbricatus	Sara Bronco	11-Aug-2023	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station	Ed Lubow	40.031693 -105.533433	DBG:DBG:DBG-F-034206
Seq-DBG-F-034207	Cortinarius brunneus	Carlyn Pudwill; Alex Merryman	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus. Southwest edge near Aspen and Columbine cabins.	Ed Lubow	40.030961 -105.537858	DBG:DBG:DBG-F-034207
Seq-DBG-F-034208	Russula aeruginea	Carlyn Pudwill; Ed Lubow	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station	Bitty A Roy	40.03078 -105.53758	DBG:DBG:DBG-F-034208
Seq-DBG-F-034209	Sarcodon imbricatus	Andrew W. Wilson	11-Aug-2023	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station	Ed Lubow	40.031856 -105.533744	DBG:DBG:DBG-F-034209
Seq-DBG-F-034210	Hydnellum glaucopus	Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Niwot Ridge road ~50 m from the end of the creek	Ed Lubow	40.04107 -105.56893	DBG:DBG:DBG-F-034210
Seq-DBG-F-034211	Lactarius rufus	Sara Branco	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus. Across from Mores-Collins Family Lodge.	Roy Halling	40.032111 -105.535417	DBG:DBG:DBG-F-034211
Seq-DBG-F-034213	Cortinarius 	Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Niwot Ridge Road ~50m uphill from Cable Gate	Ed Lubow	40.046508 -105.574822	DBG:DBG:DBG-F-034213
Seq-DBG-F-034214	Amanita muscaria	Andrew W. Wilson; Ed Lubow; Ikuko Lubow; Roy Halling	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge Road, ~200 meters uphill of Cable Gate	Andrew W. Wilson	40.04733 -105.57854	DBG:DBG:DBG-F-034214
Seq-DBG-F-034215	Alloclavaria purpurea	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station	Justin Loucks	40.046995 -105.577562	DBG:DBG:DBG-F-034215
Seq-DBG-F-034217	Clitocybe nebularis	Carlyn Pudwill; Ed Lubow	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station	Bitty A Roy	40.03095 -105.5381	DBG:DBG:DBG-F-034217
Seq-DBG-F-034218	Boletus rubriceps	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Reasearch Station, Niwot Ridge	Justin Loucks; Roy Halling	40.047761 -105.580283	DBG:DBG:DBG-F-034218
Seq-DBG-F-034220	Suillus tomentosus	Alex Merryman	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus. Across from Mores-Collins Family Lodge.	Ed Lubow	40.031139 -105.537933	DBG:DBG:DBG-F-034220
Seq-DBG-F-034221	Hebeloma sinapizans	Alex Merryman; Carlyn Pudwill	11-Aug-2023	United States of America: Colorado, Boulder, West of Rainbow Lakes Campground Area	Ed Lubow	40.0093 -105.572267	DBG:DBG:DBG-F-034221
Seq-DBG-F-034224	Cudonia sichuanensis	Alex Merryman; Carlyn Pudwill, Ed Lubow	11-Aug-2023	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station	Jean Lodge (DNA)	40.031665 -105.533662	DBG:DBG:DBG-F-034224
Seq-DBG-F-034225	Hebeloma incarnatulum	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge Road, ~50 meters west of Cable Gate	Ed Lubow	40.04555 -105.574734	DBG:DBG:DBG-F-034225
Seq-DBG-F-034226	Pluteus 	Alex Merryman	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station	Bitty A Roy	40.03179 -105.53619	DBG:DBG:DBG-F-034226
Seq-DBG-F-034229	Laccaria bicolor	Michelle Williams	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge Road, ~200 meters uphill of Cable Gate	Ed Lubow	40.047314 -105.576622	DBG:DBG:DBG-F-034229
Seq-DBG-F-034230	 	Alex Merryman	11-Aug-2023	United States of America: Colorado, Boulder, MRS SW of Collins Family Lodge	Ed Lubow	40.030736 -105.53768	DBG:DBG:DBG-F-034230
Seq-DBG-F-034231	Russula sphagnophila	Carlyn Pudwill	11-Aug-2023	United States of America: Colorado, Boulder, MRS SW of Collins Family Lodge	Ed Lubow	40.0317 -105.536737	DBG:DBG:DBG-F-034231
Seq-DBG-F-034233	Tricholoma vaccinum	Alex Merryman; Ed Lubow	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus. Across from Moores-Collins Family Lodge	Ed Lubow	40.031858 -105.53674	DBG:DBG:DBG-F-034233
Seq-DBG-F-034235	Tricholoma saponaceum	Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station area	Ed Lubow	40.035795 -105.549072	DBG:DBG:DBG-F-034235
Seq-DBG-F-034236	Athelia 	Alex Merryman; Carlyn Pudwill	11-Aug-2023	United States of America: Colorado, Boulder, South of rainbow lake campground	Bitty Roy (DNA)	40.009803 -105.571563	DBG:DBG:DBG-F-034236
Seq-DBG-F-034237	Crepidotus ramosus	Alex Merryman; Carlyn Pudwill, Ed Lubow	11-Aug-2023	United States of America: Colorado, Boulder, ~50m south of Rainbow Lakes Campground	Roy Hailing	40.009261 -105.571778	DBG:DBG:DBG-F-034237
Seq-DBG-F-034238	Hydnellum 	Sara Branco	11-Aug-2023	United States of America: Colorado, Boulder, Niwot Ridge Road ~50m south of cable gate near end of creek	Bitty Roy (DNA)	40.039933 -105.571633	DBG:DBG:DBG-F-034238
Seq-DBG-F-034239	Laccaria nobilis	Sara Branco; Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus	Roy Halling	40.03209 -105.535502	DBG:DBG:DBG-F-034239
Seq-DBG-F-034241	Tricholoma saponaceum	Natalie Hyde	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge Road, ~200 meters uphill of Cable Gate	Natalie Hyde	40.04725 -105.5785	DBG:DBG:DBG-F-034241
Seq-DBG-F-034246	Cortinarius volvatus	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge Road, ~200 meters uphill of Cable Gate	Ed Lubow	40.048333 -105.580933	DBG:DBG:DBG-F-034246
Seq-DBG-F-034247	Calonarius subpurpureophyllus	Natalie Hyde	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge Road, ~200 meters uphill of Cable Gate	Bitty A Roy	40.04628 -105.57421	DBG:DBG:DBG-F-034247
Seq-DBG-F-034248	Agaricus malangelus	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, MRS on Niwot Ridge Road, ~200 meters uphill of Cable Gate	Ed Lubow	40.051472 -105.583092	DBG:DBG:DBG-F-034248
Seq-DBG-F-034249	Boletus rubriceps	Natalie Hyde	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Niwot Ridge	Natalie Hyde	40.047267 -105.577245	DBG:DBG:DBG-F-034249
Seq-DBG-F-034250	 	Andrew W. Wilson; Ed Lubow; Ikuko Lubow; Roy Halling	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge Road, ~200 meters uphill of Cable Gate	Bitty A Roy	40.04745 -105.57909	DBG:DBG:DBG-F-034250
Seq-DBG-F-034251	Apioperdon pyriforme	Alex Merryman	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus. Southwest edge near Aspen and Columbine cabins.	Ed Lubow; Bitty A Roy	40.031667 -105.536925	DBG:DBG:DBG-F-034251
Seq-DBG-F-034253	Strobilurus diminutivus	Alissa Iverson	12-Aug-2023	United States of America: Colorado, Boulder, Caribou Creek, above 128J	Bitty Roy	39.984363 -105.584237	DBG:DBG:DBG-F-034253
Seq-DBG-F-034254	Lactarius montanus	Carlyn Pudwil	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus	Andrew W. Wilson	40.03127 -105.53783	DBG:DBG:DBG-F-034254
Seq-DBG-F-034255	Stropharia hornemannii	Andrew W. Wilson	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, 1 km North of Silver Lake	Bitty Roy	40.04159 -105.57174	DBG:DBG:DBG-F-034255
Seq-DBG-F-034256	Rhodocollybia maculata	Sara Branco	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station Area	Bitty Roy	40.039066 -105.552823	DBG:DBG:DBG-F-034256
Seq-DBG-F-034257	Lactarius repraesentaneus	Justin Loucks; Andrew W. Wilson	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge Road, ~200 meters uphill of Cable Gate	Andrew W. Wilson	40.047267 -105.57692	DBG:DBG:DBG-F-034257
Seq-DBG-F-034258	Tricholoma virgatum	Sara Branco; Andrew Wilson; Ed Lubow; Ikuko Lubow; Roy Halling	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus	Bitty Roy	40.032152 -105.535532	DBG:DBG:DBG-F-034258
Seq-DBG-F-034259	Sarcodon imbricatus	Carlyn Pudwill	11-Aug-2023	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station	Justin Loucks	40.031676 -105.533556	DBG:DBG:DBG-F-034259
Seq-DBG-F-034261	Alloclavaria purpurea	Alissa Iverson; Andrew Wilson; Ed Lubow; Ikuko Lubow; Roy Halling	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus	Alissa Iverson	40.032111 -105.53558	DBG:DBG:DBG-F-034261
Seq-DBG-F-034263	Tricholoma apium	Alex Merryman; Carlyn Pudwil	11-Aug-2023	United States of America: Colorado, Boulder, Rainbow Lakes Campground	D. Jean Lodge	40.009892 -105.571083	DBG:DBG:DBG-F-034263
Seq-DBG-F-034264	Hygrophorus purpurascens	Carlyn Pudwill; Andrew Wilson; Ed Lubow; Ikuko Lubow; Roy Halling	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus	Andrew W. Wilson	40.031406 -105.537125	DBG:DBG:DBG-F-034264
Seq-DBG-F-034265	Amanita muscaria	Alex Merryman; Carlyn Pudwill	11-Aug-2023	United States of America: Colorado, Boulder, Rainbow Lakes Campground	Bitty Roy	40.008762 -105.568495	DBG:DBG:DBG-F-034265
Seq-DBG-F-034266	Albatrellus ovinus	Carlyn Pudwil; Alex Merryman	11-Aug-2023	United States of America: Colorado, Larimer, North of Sheep Creek campsite	Bitty Roy	40.90996 -105.57122	DBG:DBG:DBG-F-034266
Seq-DBG-F-034268	Hebeloma avellaneum	Andrew W. Wilson; Ed Lubow; Ikuko Lubow; Roy Halling	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus	D. Jean Lodge	40.047218 -105.578479	DBG:DBG:DBG-F-034268
Seq-DBG-F-034269	Tricholoma argenteum	Alex Merryman; Carlyn Pudwil	11-Aug-2023	United States of America: Colorado, Boulder, Rainbow Lakes Campground	Ikuko Lubow	40.008953 -105.57328	DBG:DBG:DBG-F-034269
Seq-DBG-F-034270	Russula montana	Sara Branco; Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, Brainard Lake Road, off of Red Rock Lake	Bitty Roy	40.08222 -105.53903	DBG:DBG:DBG-F-034270
Seq-DBG-F-034272	Leccinum aurantiacum	Alex Merryman; Carlyn Pudwil; Ed Lubow; Ikuko Lubow	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus. Across from Mores-Collins Family Lodge.	Roy Halling	40.032144 -105.535583	DBG:DBG:DBG-F-034272
Seq-DBG-F-034273	Lactarius deliciosus	Sara Branco; Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station	Bitty Roy	40.03214 -105.53545	DBG:DBG:DBG-F-034273
Seq-DBG-F-034274	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-034274
Seq-DBG-F-034276	Tricholoma apium	Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Northwest of Mountain Research Station	Bitty Roy	40.03567 -105.54909	DBG:DBG:DBG-F-034276
Seq-DBG-F-034277	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-034277
Seq-DBG-F-034278	Hygrophorus pudorinus	Ed Lubow; Ikuko Lubow	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus	Alicia Wyatt	40.030778 -105.537613	DBG:DBG:DBG-F-034278
Seq-DBG-F-034279	Lasiobolus 	Ed Lubow; Ikuko Lubow	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus. Southwest edge near Aspen and Columbine cabins.	Bitty Roy	40.032722 -105.536188	DBG:DBG:DBG-F-034279
Seq-DBG-F-034280	Sarcodon imbricatus	Natalie Hyde	11-Aug-2023	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station	Justin Loucks	40.047471 -105.579727	DBG:DBG:DBG-F-034280
Seq-DBG-F-034361	Floccularia albolanaripes	Andrew W. Wilson	12-Aug-2023	United States of America: Colorado, Boulder, Caribou Creek, above 128J	Bitty Roy	39.984216 -105.584763	DBG:DBG:DBG-F-034361
Seq-DBG-F-034362	Russula favrei	Alex Merryman	11-Aug-2023	United States of America: Colorado, Boulder, South of the creek near the Mountain Research Station	Alex Merryman	40.031058 -105.537947	DBG:DBG:DBG-F-034362
Seq-DBG-F-034363	Russula montana	Alex Merryman; Ed Lubow, Ikuko Lubow	11-Aug-2023	United States of America: Colorado, Boulder, South of the creek, NW of the Mountain Research Center	James Chelin (DNA)	40.031222 -105.537903	DBG:DBG:DBG-F-034363
Seq-DBG-F-034364	Calonarius metarius	Sara Branco; Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station	Bitty Roy	40.0319 -105.5358	DBG:DBG:DBG-F-034364
Seq-DBG-F-034367	Albatrellopsis confluens	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, 1 km North of Silver Lake	Alicia Wyatt	40.041828 -105.56948	DBG:DBG:DBG-F-034367
Seq-DBG-F-034368	Cortinarius alboviolaceus	Alex Merryman	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus. Across from Mores-Collins Family Lodge.	Alicia Wyatt	40.031453 -105.538322	DBG:DBG:DBG-F-034368
