Sequence_ID	Collected_by	Collection_date	Country	Identified_by	Lat_Lon	Specimen_voucher
DBG-F-030202-ITS2	Justin Loucks; Lux Sterling	28-Jul-2019	United States of America: Colorado, Jefferson, Wigwam Trail #609, Lost Creek Wilderness	Justin Loucks	 	DBG:DBG:DBG-F-030202
DBG-F-030212-ITS2	Justin Loucks; Lux Sterling	28-Jul-2019	United States of America: Colorado, Jefferson, Wigwam Trail #609, Lost Creek Wilderness	Justin Loucks	 	DBG:DBG:DBG-F-030212
DBG-F-030215-SSU	Justin Loucks; Lux Sterling	14-Jul-2019	United States of America: Colorado, Douglas, East of Rampart Range Riding Area, SW of Sedalia	Justin Loucks	39.3755 -105.0928	DBG:DBG:DBG-F-030215
DBG-F-030203-SSU	Justin Loucks; Lux Sterling	24-Aug-2019	United States of America: Colorado, Summit, 287 Hamilton Lane, private residence	Justin Loucks	39.37706 -106.06463	DBG:DBG:DBG-F-030203
DBG-F-030205-SSU	Justin Loucks; Lux Sterling	24-Aug-2019	United States of America: Colorado, Summit, 287 Hamilton Lane, private residence	Justin Loucks	39.37706 -106.06463	DBG:DBG:DBG-F-030205
DBG-F-030216-SSU	Justin Loucks; Lux Sterling	28-Jul-2019	United States of America: Colorado, Jefferson, Wigwam Trail #609, Lost Creek Wilderness	Justin Loucks	39.2469 -105.3583	DBG:DBG:DBG-F-030216
DBG-F-030200-SSU	Justin Loucks; Lux Sterling	24-Aug-2019	United States of America: Colorado, Summit, 287 Hamilton Lane, private residence	Justin Loucks	39.37706 -106.06463	DBG:DBG:DBG-F-030200
DBG-F-030237-SSU	Justin Loucks; Lux Sterling	6-Jul-2019	United States of America: Colorado, Chaffee, Mushroom Gulch	Justin Loucks	38.8532 -105.9685	DBG:DBG:DBG-F-030237
DBG-F-030243-SSU	Justin Loucks; Lux Sterling	14-Jul-2019	United States of America: Colorado, Douglas, <1 mile east of Rampart Range Riding Area	Justin Loucks	39.376 -105.0945	DBG:DBG:DBG-F-030243
DBG-F-030245-SSU	Justin Loucks; Lux Sterling	6-Jul-2019	United States of America: Colorado, Chaffee, Mushroom Gulch	Justin Loucks	38.8573 -105.9601	DBG:DBG:DBG-F-030245
DBG-F-030387-SSU	Justin Loucks	5-Aug-2019	United States of America: Colorado, Grand, Fool's Creek, Fraser Experimental Forest	Andrew S. Methven	39.847209 -105.91168	DBG:DBG:DBG-F-030387
DBG-F-030286-SSU	Justin Loucks	5-Aug-2019	United States of America: Colorado, Grand, Fool's Creek, Fraser Experimental Forest	Justin Loucks	39.847209 -105.91168	DBG:DBG:DBG-F-030286
DBG-F-030299-LSU	Justin Loucks	5-Aug-2019	United States of America: Colorado, Grand, Fool's Creek, Fraser Experimental Forest	Ed Lubow	39.847209 -105.91168	DBG:DBG:DBG-F-030299
DBG-F-030350-LSU	Justin Loucks	5-Aug-2019	United States of America: Colorado, Clear Creek, Near Berthoud Pass, First creek.	Ed Lubow	39.82832 -105.758895	DBG:DBG:DBG-F-030350
DBG-F-030558-LSU	Justin Loucks; Lux Sterling	2-Jul-2020	United States of America: Idaho, Lemhi, Meadow Lake Campground		44.432349 -113.320141	DBG:DBG:DBG-F-030558
DBG-F-030581-LSU	Justin Loucks; Lux Sterling	8-Jul-2020	United States of America: Idaho, Lemhi, Withington Creek Rd.	Justin Loucks	45.03491 -113.80315	DBG:DBG:DBG-F-030581
DBG-F-030577-LSU	Justin Loucks; Lux Sterling	7-Jul-2020	United States of America: Idaho, Lemhi, Withington Creek Rd., Sal Mountain		45.01535 -113.82169	DBG:DBG:DBG-F-030577
DBG-F-030592-LSU	Justin Loucks; Lux Sterling	11-Jul-2020	United States of America: Idaho, Lemhi, Bear Valley Campground		44.79324 -113.78017	DBG:DBG:DBG-F-030592
DBG-F-030579-LSU	Justin Loucks; Lux Sterling	7-Jul-2020	United States of America: Idaho, Lemhi, Withington Creek Rd., Sal Mountain	Justin Loucks	45.01968 -113.81426	DBG:DBG:DBG-F-030579
DBG-F-030593-LSU	Justin Loucks; Lux Sterling	11-Jul-2020	United States of America: Idaho, Lemhi, Bear Valley Campground		44.79326 -113.78025	DBG:DBG:DBG-F-030593
DBG-F-030587-LSU	Justin Loucks; Lux Sterling	10-Jul-2020	United States of America: Idaho, Lemhi, Buck Lake		44.78073 -113.83664	DBG:DBG:DBG-F-030587
DBG-F-030586-LSU	Justin Loucks; Lux Sterling	10-Jul-2020	United States of America: Idaho, Lemhi, Buck Lake		44.78083 -113.83669	DBG:DBG:DBG-F-030586
